model,seed,accuracy,best_epoch,best_val_f1,f1,f1_weighted,n,precision,recall,time_s
graphsage,0,0.9155339805825242,47.0,0.9251351351351351,0.9182879377431906,0.9155185644307708,7210.0,0.9135077415910304,0.9231184246021041,349.9
graphsage,1,0.916504854368932,47.0,0.9252563410685375,0.9194325481798715,0.9164804147832909,7210.0,0.9123505976095617,0.9266253034799029,376.7
graphsage,2,0.9166435506241332,47.0,0.925113106894456,0.919469382285944,0.9166236475407024,7210.0,0.913471778487753,0.9255462638251956,268.0
