step,train_loss,f1,accuracy,precision,recall,model,seed
0,0.6927555203437805,0.6791260134670881,0.5141489804411152,0.5141489804411152,1.0,graphsage,1
1,0.6865929365158081,0.7589887058335923,0.6773477597447635,0.6161157372361006,0.9881289626332119,graphsage,1
2,0.6765280961990356,0.8272466146901929,0.7956027188236926,0.7314949201741655,0.9518413597733711,graphsage,1
3,0.6632145047187805,0.8397912189131103,0.8190456373976973,0.7707394048692516,0.9224335626601916,graphsage,1
4,0.6474866271018982,0.8443064444585261,0.8295880149812734,0.7961281070745698,0.8986914879266154,graphsage,1
5,0.6286474466323853,0.8472600077730276,0.83645443196005,0.8149532710280374,0.8822339133953865,graphsage,1
6,0.6062361001968384,0.8474175318701538,0.8389513108614233,0.8261370916079436,0.8698232834210171,graphsage,1
7,0.5810022950172424,0.849159051781221,0.8420030517408794,0.8339185849915464,0.8649669499527857,graphsage,1
8,0.553171694278717,0.8507333908541846,0.8440144264114302,0.8373399529657696,0.8645622554970996,graphsage,1
9,0.5233034491539001,0.8532995937937005,0.8472048827854072,0.8425828511309837,0.8642924591933091,graphsage,1
10,0.49277955293655396,0.8556542649121636,0.8501179081703426,0.8474464143953426,0.8640226628895185,graphsage,1
11,0.4631507694721222,0.8581208053691275,0.8533777222915799,0.8538800587685321,0.8624038850667746,graphsage,1
12,0.4358174800872803,0.8601050222162381,0.8558746011929532,0.8584867625319178,0.861729394307298,graphsage,1
13,0.4119259715080261,0.8633820853272225,0.8594118463032321,0.8627424568965517,0.8640226628895185,graphsage,1
14,0.3919430375099182,0.8682880819241393,0.8644056041059787,0.8672947510094212,0.8692836908134358,graphsage,1
15,0.3755548298358917,0.8721338009171837,0.8684977111943404,0.8720161834120027,0.8722514501551328,graphsage,1
16,0.36191755533218384,0.8774559449058132,0.8741156887224303,0.878345498783455,0.8765681910157831,graphsage,1
17,0.3499891757965088,0.8816420228208763,0.8784158690525732,0.8825358204920248,0.880750033724538,graphsage,1
18,0.33885037899017334,0.8861185983827493,0.8827854071299764,0.8852834253399757,0.8869553487117227,graphsage,1
19,0.3279474079608917,0.8904303320088894,0.8871549452073797,0.8890532544378699,0.8918116821799541,graphsage,1
20,0.3170844614505768,0.8941303322326303,0.8910389790539603,0.8933476972798277,0.8949143396735465,graphsage,1
21,0.30631160736083984,0.8968634064080945,0.8939520044388958,0.8969239071775499,0.8968029138000809,graphsage,1
22,0.29577013850212097,0.8992592592592593,0.896240810098488,0.8978082560172113,0.9007149602050452,graphsage,1
23,0.28556886315345764,0.9006533306391864,0.8976973227909557,0.8993812214151197,0.901929043572103,graphsage,1
24,0.2757309675216675,0.9024521692266235,0.8995699819669857,0.9013591710402369,0.9035478213948469,graphsage,1
25,0.26623445749282837,0.9029956243688994,0.9000554861978083,0.9012362268207471,0.9047619047619048,graphsage,1
26,0.257041871547699,0.9038954036932201,0.9010958524067139,0.9031649831649832,0.9046270066100094,graphsage,1
27,0.24814972281455994,0.9053653275815584,0.9026217228464419,0.9047554896941937,0.9059759881289626,graphsage,1
28,0.23959428071975708,0.9072651300714382,0.9045637397697323,0.9065319865319865,0.9079994604073924,graphsage,1
29,0.2314344048500061,0.9087352445193929,0.9061589679567208,0.9087965461413924,0.908673951166869,graphsage,1
30,0.22368186712265015,0.9105373154452909,0.9079622693854904,0.9101078167115902,0.9109672197490895,graphsage,1
31,0.21644672751426697,0.913181541787717,0.9108752947704258,0.9147265836491608,0.911641710508566,graphsage,1
32,0.20976872742176056,0.9149366406039364,0.9124705229574144,0.9143203556513539,0.9155537569135302,graphsage,1
33,0.2035788893699646,0.9164128595600677,0.9143431821334443,0.919587068731323,0.9132604883313099,graphsage,1
34,0.1977885663509369,0.9195634599838318,0.9171868497711194,0.9184497375857893,0.9206798866855525,graphsage,1
35,0.1923178881406784,0.9186173108328797,0.9170481342765987,0.9268158725799808,0.9105625252934035,graphsage,1
36,0.18724071979522705,0.9229324569052251,0.920307948397836,0.9178228388473852,0.928099285039795,graphsage,1
37,0.18273547291755676,0.9179160676388033,0.9168400610348176,0.9318876841812621,0.9043572103062189,graphsage,1
38,0.1782553344964981,0.9235424652007262,0.9211402413649604,0.9207562349155269,0.9263456090651558,graphsage,1
39,0.17270353436470032,0.9226496884313194,0.9207934526286586,0.9265406067201741,0.9187913125590179,graphsage,1
40,0.16755278408527374,0.9201583185478368,0.9188514357053683,0.9310868664549096,0.9094833400782409,graphsage,1
41,0.1641249805688858,0.9238742680218079,0.9215563878485227,0.9219505642127889,0.9258060164575745,graphsage,1
42,0.16037589311599731,0.9211832709962597,0.9196143709252323,0.9288261108063631,0.9136651827869958,graphsage,1
43,0.15581369400024414,0.9212212075780292,0.9198224441670134,0.9308635174218427,0.9117766086604614,graphsage,1
44,0.15249907970428467,0.9244965312857817,0.9222499653211264,0.9231907452246435,0.9258060164575745,graphsage,1
45,0.14960648119449615,0.9227523310419928,0.9212789568594812,0.9311813186813187,0.9144745716983678,graphsage,1
46,0.14577166736125946,0.9234326125390997,0.9219031765848246,0.9310297545591664,0.9159584513692163,graphsage,1
47,0.14249518513679504,0.9252563410685375,0.9231516160355112,0.9253811901227904,0.925131525698098,graphsage,1
48,0.13991299271583557,0.9231397644495881,0.9216951033430434,0.9318306761957119,0.914609469850263,graphsage,1
49,0.13667361438274384,0.9242249508174479,0.9225273963101679,0.9295851528384279,0.9189262107109133,graphsage,1
50,0.13354991376399994,0.9250489104769615,0.92294354279373,0.9252361673414305,0.9248617293943073,graphsage,1
51,0.1311146765947342,0.9230664488017429,0.921625745595783,0.9318213058419244,0.9144745716983678,graphsage,1
52,0.12835043668746948,0.9242023978866084,0.9223886808156471,0.9281632653061225,0.9202751922298664,graphsage,1
53,0.1254005879163742,0.9246034424569692,0.9225273963101679,0.9252904620372873,0.9239174423310401,graphsage,1
54,0.12298687547445297,0.9220929441382595,0.9205853793868776,0.9302580999450851,0.9140698772426817,graphsage,1
55,0.12063667178153992,0.9244582461351516,0.9223886808156471,0.9252702702702703,0.9236476460272495,graphsage,1
56,0.11801445484161377,0.9241686942416869,0.922180607573866,0.926046322633076,0.9222986645082962,graphsage,1
57,0.11562470346689224,0.922701051917204,0.9210015258704397,0.9284348538650642,0.9170376365843788,graphsage,1
