step,train_loss,f1,accuracy,precision,recall,model,seed
0,0.6945832967758179,0.4325137982940291,0.6077819392426134,0.844435736677116,0.2907055173344125,graphsage,0
1,0.6865177750587463,0.8070333633904418,0.7922041892079346,0.7722174288179465,0.8451369216241738,graphsage,0
2,0.6750995516777039,0.8205556984821198,0.8064918851435705,0.7841425937307929,0.8605153109402401,graphsage,0
3,0.6598907113075256,0.8227704994347277,0.8151616035511167,0.8113850996852047,0.8344799676244435,graphsage,0
4,0.6415376663208008,0.8227122530177355,0.81765848245249,0.8225458468176915,0.8228787265614461,graphsage,0
5,0.6203140616416931,0.826411792421081,0.8211263698155084,0.8246910263299302,0.8281397544853636,graphsage,0
6,0.595777153968811,0.8438200765070571,0.8357608544874463,0.8255258743063622,0.8629434776743559,graphsage,0
7,0.5682956576347351,0.8482903183545133,0.8393674573449854,0.8245256589838278,0.8734655335221907,graphsage,0
8,0.5391050577163696,0.8510134245854172,0.8429740602025246,0.8307850443273802,0.8722514501551328,graphsage,0
9,0.5086504817008972,0.8530155771535082,0.8468580940491053,0.8420291759758181,0.8642924591933091,graphsage,0
10,0.4782337248325348,0.8548734518039849,0.8504646969066445,0.8531506113126428,0.8566032645352759,graphsage,0
11,0.4495517611503601,0.8576051779935275,0.8535164377861008,0.8572583906186818,0.857952246054229,graphsage,0
12,0.4236018657684326,0.8623705098883357,0.8580940491052851,0.860056353146384,0.864697153648995,graphsage,0
13,0.4010416269302368,0.8682514101531024,0.8639200998751561,0.8644203770557561,0.8721165520032376,graphsage,0
14,0.3821648359298706,0.8713871858788654,0.8675960604799556,0.8703903095558546,0.8723863483070282,graphsage,0
15,0.36632224917411804,0.8747633216121179,0.8715494520737966,0.8770169491525424,0.8725212464589235,graphsage,0
16,0.3528435528278351,0.8799567655205026,0.8767512831183243,0.8813261163734777,0.8785916632942129,graphsage,0
17,0.34064823389053345,0.885539331135186,0.8820224719101124,0.8834586466165414,0.8876298394711992,graphsage,0
18,0.32922062277793884,0.8898014136654325,0.886461367734776,0.8880677237301801,0.8915418858761635,graphsage,0
19,0.31808599829673767,0.8937002563064886,0.8906921903176584,0.8937002563064886,0.8937002563064886,graphsage,0
20,0.30723777413368225,0.897411701267188,0.8944375086697184,0.8968072208002156,0.8980169971671388,graphsage,0
21,0.2966049313545227,0.8997242585244468,0.8965875988347899,0.8971298283261803,0.902333738027789,graphsage,0
22,0.286379337310791,0.9000269469145783,0.8970731030656124,0.8989368860180326,0.9011196546607312,graphsage,0
23,0.2764519453048706,0.9022596964586846,0.8995006242197253,0.9023205612520238,0.9021988398758937,graphsage,0
24,0.26690733432769775,0.9028132992327366,0.8998474129560272,0.9008730691739423,0.9047619047619048,graphsage,0
25,0.25766512751579285,0.9037955909121553,0.9010264946594535,0.9033692722371968,0.9042223121543235,graphsage,0
26,0.2487024962902069,0.904366605925626,0.9017200721320572,0.9049162614802809,0.9038176176986376,graphsage,0
27,0.24011947214603424,0.9068874974752575,0.9040782355389096,0.905241935483871,0.9085390530149737,graphsage,0
28,0.23193952441215515,0.9078991823771877,0.9054653904841171,0.909558624424587,0.9062457844327533,graphsage,0
29,0.22419044375419617,0.9102192242833053,0.9076848383964489,0.9102806260118727,0.9101578308377175,graphsage,0
30,0.2169303148984909,0.9120367244987511,0.9096268553197392,0.9128378378378378,0.9112370160528801,graphsage,0
31,0.2102002203464508,0.9141543869136136,0.9119156609793314,0.9161360249288715,0.9121813031161473,graphsage,0
32,0.20397643744945526,0.9164809938559179,0.9142044666389235,0.9174101108407677,0.9155537569135302,graphsage,0
33,0.19816972315311432,0.9173665673259279,0.9153835483423498,0.9212352060944089,0.9135302846351006,graphsage,0
34,0.19265227019786835,0.9196488858879136,0.917464280760161,0.9206435041232932,0.9186564144071226,graphsage,0
35,0.18731096386909485,0.9198885642454304,0.918227215980025,0.9267524644030668,0.9131255901794145,graphsage,0
36,0.18206271529197693,0.922027027027027,0.9199611596615342,0.9236496547989712,0.9204100903817618,graphsage,0
37,0.17692968249320984,0.921015035036397,0.9194756554307116,0.9290419983530057,0.9131255901794145,graphsage,0
38,0.17196781933307648,0.9223910840932118,0.920307948397836,0.9237012987012987,0.9210845811412384,graphsage,0
39,0.1672421395778656,0.9216941304643879,0.9202385906505757,0.9305651038086071,0.9129906920275193,graphsage,0
40,0.16279727220535278,0.9228278467350243,0.9206547371341379,0.9229523681014707,0.9227033589639821,graphsage,0
41,0.15862132608890533,0.9203056768558951,0.918990151199889,0.9311058953472318,0.9097531363820316,graphsage,0
42,0.1546214371919632,0.9237947122861586,0.9218338188375641,0.9261117136659436,0.9214892755969243,graphsage,0
43,0.15075410902500153,0.9228153689221353,0.9212789568594812,0.9304717498628634,0.9152839606097396,graphsage,0
44,0.1470177173614502,0.9247355573637104,0.9230129005409904,0.9296523517382413,0.9198704977741805,graphsage,0
45,0.14346586167812347,0.9247136951955004,0.92294354279373,0.929057734204793,0.9204100903817618,graphsage,0
46,0.14010536670684814,0.924122926298613,0.9225967540574282,0.931596984235778,0.9167678402805881,graphsage,0
47,0.1369129717350006,0.9251351351351351,0.9231516160355112,0.9267632327061053,0.9235127478753541,graphsage,0
48,0.13387757539749146,0.9228151374897904,0.9213483146067416,0.9313092457755187,0.9144745716983678,graphsage,0
49,0.1309724897146225,0.9242076871207012,0.9220418920793453,0.9239584737764595,0.9244570349386213,graphsage,0
50,0.12814942002296448,0.9234957800163354,0.9220418920793453,0.9319961533177634,0.9151490624578443,graphsage,0
51,0.12531067430973053,0.9249747219413549,0.9228048272992093,0.9244139046079224,0.9255362201537839,graphsage,0
52,0.12244292348623276,0.9232543937029246,0.9215563878485227,0.9288640087383944,0.9177121273438554,graphsage,0
53,0.11961117386817932,0.9240857162171298,0.9221112498266056,0.9261517615176151,0.9220288682045056,graphsage,0
54,0.11694347113370895,0.923970290344362,0.9219031765848246,0.9249695822630797,0.9229731552677728,graphsage,0
55,0.11449162662029266,0.9226287262872629,0.9207934526286586,0.9267728324486185,0.9185215162552273,graphsage,0
56,0.11223770678043365,0.9243516335466487,0.9221112498266056,0.9231700753498385,0.9255362201537839,graphsage,0
57,0.1101551279425621,0.9223762914627515,0.9207934526286586,0.9295793944375942,0.9152839606097396,graphsage,0
