dataset,subgroup,file,model,has_anomaly_in_test,n_test,n_train,wlen,W,Wp,theta,val_metric,n_detections,n_windows_test,nab_score,raw,null,ideal,ok
microsoft,middle-tier-api-dependency-latency,middle-tier-api-dependency-latency/outbound-11.csv,IsolationForest,True,216,504,50,80,1,2.5,-0.0,10,1,97.61904761904742,"{'tp': 1.05, 'fp': 0.0, 'tn': 197.0, 'fn': 0, 'n_windows': 1, 'weighted': 44.39}","{'tp': 0.0, 'fp': 0.0, 'tn': 197.0, 'fn': 1, 'n_windows': 1, 'weighted': 42.34}","{'tp': 1.1, 'fp': 0.0, 'tn': 197.0, 'fn': 0, 'n_windows': 1, 'weighted': 44.440000000000005}",True
microsoft,middle-tier-api-dependency-latency,middle-tier-api-dependency-latency/outbound-11.csv,TCN,True,216,504,50,80,1,2.5,-0.0,8,1,94.1071428571428,"{'tp': 1.1, 'fp': 1.125, 'tn': 197.0, 'fn': 0, 'n_windows': 1, 'weighted': 44.316250000000004}","{'tp': 0.0, 'fp': 0.0, 'tn': 197.0, 'fn': 1, 'n_windows': 1, 'weighted': 42.34}","{'tp': 1.1, 'fp': 0.0, 'tn': 197.0, 'fn': 0, 'n_windows': 1, 'weighted': 44.440000000000005}",True
microsoft,middle-tier-api-dependency-latency,middle-tier-api-dependency-latency/outbound-11.csv,Transformer,True,216,504,50,80,1,2.5,-0.0,9,1,95.7936507936509,"{'tp': 1.0666666666666667, 'fp': 0.5, 'tn': 197.0, 'fn': 0, 'n_windows': 1, 'weighted': 44.351666666666674}","{'tp': 0.0, 'fp': 0.0, 'tn': 197.0, 'fn': 1, 'n_windows': 1, 'weighted': 42.34}","{'tp': 1.1, 'fp': 0.0, 'tn': 197.0, 'fn': 0, 'n_windows': 1, 'weighted': 44.440000000000005}",True
microsoft,middle-tier-api-dependency-latency,middle-tier-api-dependency-latency/outbound-14.csv,GRU,False,216,504,50,80,1,2.5,-0.0,6,0,0.0,"{'tp': 0.0, 'fp': 3.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.190000000000005}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}",True
microsoft,middle-tier-api-dependency-latency,middle-tier-api-dependency-latency/outbound-14.csv,TCN,False,216,504,50,80,1,4.0,-0.0,3,0,0.0,"{'tp': 0.0, 'fp': 3.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.190000000000005}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}",True
microsoft,middle-tier-api-dependency-latency,middle-tier-api-dependency-latency/outbound-14.csv,IsolationForest,False,216,504,50,80,1,3.0,-0.0,2,0,0.0,"{'tp': 0.0, 'fp': 2.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.300000000000004}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}",True
microsoft,middle-tier-api-dependency-latency,middle-tier-api-dependency-latency/outbound-15.csv,GRU,False,216,504,50,80,1,2.5,-0.0,10,0,0.0,"{'tp': 0.0, 'fp': 6.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 46.86000000000001}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}",True
microsoft,middle-tier-api-dependency-latency,middle-tier-api-dependency-latency/outbound-13.csv,TCN,False,216,504,50,80,1,3.0,-0.0,4,0,0.0,"{'tp': 0.0, 'fp': 4.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.080000000000005}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}",True
microsoft,middle-tier-api-dependency-latency,middle-tier-api-dependency-latency/outbound-13.csv,Transformer,False,216,504,50,80,1,3.0,-0.0,0,0,0.0,"{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}",True
microsoft,middle-tier-api-dependency-latency,middle-tier-api-dependency-latency/outbound-13.csv,TSMixer,False,216,504,50,80,1,3.0,-0.0,6,0,0.0,"{'tp': 0.0, 'fp': 5.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 46.970000000000006}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}",True
microsoft,middle-tier-api-dependency-latency,middle-tier-api-dependency-latency/outbound-13.csv,IsolationForest,False,216,504,50,80,1,2.5,-0.0,7,0,0.0,"{'tp': 0.0, 'fp': 4.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.080000000000005}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}",True
microsoft,middle-tier-api-dependency-latency,middle-tier-api-dependency-latency/outbound-12.csv,Transformer,False,216,504,50,80,1,2.5,-0.0,2,0,0.0,"{'tp': 0.0, 'fp': 1.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.410000000000004}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}",True
microsoft,middle-tier-api-dependency-latency,middle-tier-api-dependency-latency/outbound-12.csv,TSMixer,False,216,504,50,80,3,3.5,-0.0,3,0,0.0,"{'tp': 0.0, 'fp': 2.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.300000000000004}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}",True
