dataset,subgroup,model,nab_score,has_anomaly_in_test,calibration
nab,artificialWithAnomaly,TCN,0.0,1,"W=12,W'=1,theta=3.50 (grid on val)"
nab,artificialWithAnomaly,TSMixer,-2.0952,1,"W=12,W'=1,theta=3.50 (grid on val)"
nab,artificialWithAnomaly,Transformer,14.1562,1,"W=24,W'=1,theta=3.75 (grid on val)"
nab,realAWSCloudwatch,GRU,11.2642,1,"W=24,W'=1,theta=3.50 (grid on val)"
nab,realAWSCloudwatch,IsolationForest,7.829,1,"W=48,W'=1,theta=3.50 (grid on val)"
nab,realAWSCloudwatch,TCN,6.4333,1,"W=12,W'=1,theta=3.50 (grid on val)"
nab,realAWSCloudwatch,TSMixer,-7.4077,1,"W=13,W'=1,theta=3.50 (grid on val)"
nab,realAWSCloudwatch,Transformer,-19.3857,1,"W=48,W'=1,theta=3.50 (grid on val)"
nab,realAdExchange,GRU,64.2361,1,"W=80,W'=1,theta=3.50 (grid on val)"
nab,realAdExchange,IsolationForest,3.4325,1,"W=80,W'=1,theta=2.75 (grid on val)"
nab,realAdExchange,TCN,72.6786,1,"W=80,W'=1,theta=3.75 (grid on val)"
nab,realAdExchange,TSMixer,60.8929,1,"W=80,W'=1,theta=3.25 (grid on val)"
nab,realAdExchange,Transformer,66.7857,1,"W=80,W'=1,theta=3.75 (grid on val)"
nab,realKnownCause,GRU,28.3411,1,"W=30,W'=1,theta=4.00 (grid on val)"
nab,realKnownCause,IsolationForest,11.6431,1,"W=54,W'=1,theta=4.00 (grid on val)"
nab,realKnownCause,TCN,27.597,1,"W=61,W'=1,theta=4.00 (grid on val)"
nab,realKnownCause,TSMixer,32.2953,1,"W=54,W'=1,theta=4.00 (grid on val)"
nab,realKnownCause,Transformer,43.4445,1,"W=54,W'=1,theta=4.00 (grid on val)"
nab,realTraffic,GRU,57.6749,1,"W=20,W'=1,theta=3.50 (grid on val)"
nab,realTraffic,IsolationForest,53.9237,1,"W=80,W'=1,theta=3.50 (grid on val)"
nab,realTraffic,TCN,31.4156,1,"W=10,W'=1,theta=3.00 (grid on val)"
nab,realTraffic,TSMixer,11.5326,1,"W=10,W'=1,theta=3.00 (grid on val)"
nab,realTraffic,Transformer,0.0,1,"W=10,W'=1,theta=3.00 (grid on val)"
nab,realTweets,GRU,-22.3631,1,"W=190,W'=1,theta=4.00 (grid on val)"
nab,realTweets,IsolationForest,24.5246,1,"W=47,W'=1,theta=4.00 (grid on val)"
nab,realTweets,TCN,-28.2884,1,"W=190,W'=1,theta=4.00 (grid on val)"
nab,realTweets,TSMixer,-32.6671,1,"W=87.5,W'=1,theta=4.00 (grid on val)"
nab,realTweets,Transformer,-38.0405,1,"W=190,W'=1,theta=3.75 (grid on val)"
